angDist,id,RA_ICRS,DE_ICRS,rest,b_rest,B_rest,rlen,ResFlag,ModFlag,angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,KIC,Per,BJD0,Morph,SC,LC,T3,Simbad,_RA,_DE
1.986201,2073775794399263360,298.29896053297,40.47032194117,3250.549105293280000,3006.522003525430000,3536.556016651310000,2213.261949447570,1,1,1.943967,298.2996485731322,40.4701475072784,0.014,0.012,0,2073775794384972928,298.29964285125,0.3088,40.4701270366,0.4308,0.6573,0.4457,-1.011,0.755,-4.754,0.889,0,240.884,1.22435,19.733847,,,,,,,,,,0,,,,,,298.29898,40.4703289,5302006,0.1511712,54980.50904,0.97,false,LC,0,Simbad,298.29898,40.47033
0.077334,2128516247789705344,294.84482479365,46.70415869895,936.514570074144000,916.104308585670000,957.837729379761000,1168.696322894420,1,1,0.043596,294.8448302744124,46.7041798492815,0.001,0.001,0,2128516247789705344,294.84482479365,0.0194,46.70415869895,0.0239,1.0394,0.0236,-0.873,0.043,-4.912,0.045,0,299685.0,54.8258,11.996703,186040.0,157.433,12.177375,169023.0,101.631,11.692053,0.485322,,,0,7249.0,,,2.09,10.835,294.84482,46.70417,9898401,0.1527742,54964.733972,0.99,false,LC,1,Simbad,294.84482,46.70417
0.057253,2078007608488503680,295.46695934796,42.92785897832,1235.547651662200000,1197.129660434680000,1276.464855538230000,1614.641037898590,1,1,0.044844,295.4669640844919,42.9278744992299,0.001,0.001,0,2078007608488503680,295.46695934796,0.0202,42.92785897832,0.0246,0.7814,0.0258,-0.806,0.042,-3.605,0.043,0,308587.0,272.526,11.964922,182099.0,665.912,12.200618,184916.0,331.502,11.594484,0.606133,,,0,6539.59,,,3.44,19.55,295.46698,42.9278789,7375612,0.1600729,54953.638704,0.97,false,LC,1,Simbad,295.46698,42.92788
0.079546,2101594503726623616,290.59624736084,41.18562189944,1012.812079898570000,990.513022791184000,1036.119112912710000,1077.050850115700,1,1,0.052798,290.596239414441,41.1856431708336,0.001,0.001,0,2101594503726623616,290.59624736084,0.0188,41.18562189944,0.0239,0.9589,0.0221,1.389,0.039,-4.94,0.044,0,283851.0,66.6754,12.055639,173695.0,245.402,12.251919,161338.0,124.246,11.742579,0.509339,15.72,1.54,14,7092.04,1.1875,0.576,2.3,12.007,290.59622,41.1856419,5872696,0.1726132,54953.79871,0.99,false,LC,1,Simbad,290.59622,41.18564
0.107119,2078789911014347648,296.47728888558,43.47474063137,1813.728543820670000,1737.824647439930000,1896.426215465740000,1680.196461411150,1,1,0.052771,296.4773048471812,43.4747680395236,0.001,0.001,0,2078789911014347648,296.47728888558,0.0193,43.47474063137,0.0224,0.5233,0.0239,-2.69,0.04,-6.366,0.041,0,198685.0,31.074,12.442954,117213.0,147.997,12.678945,119420.0,71.6565,12.069227,0.609717,,,0,6627.5,0.821,0.4097,4.02,28.062,296.47729,43.4747581,7767774,0.1733883,55007.740259,0.99,false,LC,1,Simbad,296.47729,43.47476
0.128632,2133765767273627520,287.25984170484,51.15420286730,1212.921612578860000,1183.158254896700000,1244.191610846470000,797.848009980302,1,1,0.013103,287.2598612053124,51.1542364397366,0.001,0.001,0,2133765767273627520,287.25984170484,0.0187,51.1542028673,0.0199,0.7957,0.0206,-2.841,0.04,-7.797,0.04,0,28073.0,7.757,14.567644,15681.3,29.8653,14.862936,18312.3,21.2908,14.105065,0.757871,,,0,5965.36,,,1.23,1.734,287.25986,51.15424,12350008,0.1845296,55002.014438,0.71,false,LC,0,Simbad,287.25986,51.15424
0.020176,2086474432138533632,298.42667912136,47.97423336203,1083.710520424010000,1020.935052099710000,1154.547125604300000,1436.789257984000,1,1,0.005914,298.4266717279588,47.9742307334184,0.002,0.001,90,2086474432138533632,298.42667912136,0.0447,47.97423336203,0.0463,0.8979,0.0553,1.15,0.113,0.611,0.073,1,733778.0,571.827,11.024454,450986.0,1167.45,11.21598,412862.0,878.225,10.722408,0.493571,,,0,7070.0,1.1923,0.576,3.96,35.382,298.42667,47.9742319,10684673,0.1925563,55026.598808,1.0,true,LC,1,Simbad,298.42667,47.97423
0.202222,2128112078480072704,294.21690583483,46.18010593853,1844.112432067910000,1615.144332424130000,2145.350317366790000,1145.383755800380,1,1,0.500203,294.2169205020779,46.1801611856917,0.002,0.002,90,2128112078480072704,294.21690583483,0.0587,46.18010593853,0.0618,0.5171,0.0732,-2.359,0.138,-12.832,0.124,0,5554.02,4.41506,16.326847,2928.26,26.9516,16.684866,5111.11,62.0354,15.490633,1.194233,,,0,4964.7,,,1.29,0.913,294.21674,46.1802219,9532219,0.1981551,55001.945386,0.77,false,LC,0,Simbad,294.21674,46.18022
0.983620,2128112078486764160,294.21654457293,46.18024426591,1675.428849373550000,1145.091014511710000,2853.430525163250000,1145.340089918830,1,1,0.500203,294.2169205020779,46.1801611856917,0.002,0.002,90,2128112078480072704,294.21690583483,0.0587,46.18010593853,0.0618,0.5171,0.0732,-2.359,0.138,-12.832,0.124,0,5554.02,4.41506,16.326847,2928.26,26.9516,16.684866,5111.11,62.0354,15.490633,1.194233,,,0,4964.7,,,1.29,0.913,294.21674,46.1802219,9532219,0.1981551,55001.945386,0.77,false,LC,0,Simbad,294.21674,46.18022
2.035695,2128112078480070912,294.21631714539,46.17978009161,4137.577697866440000,2620.199961340900000,6413.862724050550000,1145.350283845480,1,1,0.500203,294.2169205020779,46.1801611856917,0.002,0.002,90,2128112078480072704,294.21690583483,0.0587,46.18010593853,0.0618,0.5171,0.0732,-2.359,0.138,-12.832,0.124,0,5554.02,4.41506,16.326847,2928.26,26.9516,16.684866,5111.11,62.0354,15.490633,1.194233,,,0,4964.7,,,1.29,0.913,294.21674,46.1802219,9532219,0.1981551,55001.945386,0.77,false,LC,0,Simbad,294.21674,46.18022
