,source_id,bp_rp,phot_g_mean_mag,parallax,teff_val,lum_val
2164,1.6902188252559452e+18,1.3309312,5.8559337,6.584668975673733,4583.56,97.06004
2165,5.702365475455908e+18,0.7283659,10.437301,2.0314673614671697,6199.736999999999,11.857863
2166,2.0076200008260083e+18,2.2309065,13.240438,10.925235368174237,4064.25,
2167,5.702344241137611e+18,0.8428220999999999,12.066893,1.6649078581569654,5786.5,4.0001297
2168,3.5039542742195656e+18,0.7846794,9.832906,3.2012546842033838,5895.75,8.418758
2169,2.1396985559202765e+18,1.339325,13.813427,2.719842268371501,4776.51,0.35058728
2170,2.0857250806062008e+18,0.95269775,13.527539,1.3137627043334,5398.0,1.7313678
2171,1.387290280744129e+18,0.82494736,10.714046000000002,3.971976927268471,5627.297,2.4708889
2172,1.4861943409595236e+18,0.19947433,7.089864,6.959900676752064,8133.0,
2173,2.1713037127316408e+18,0.7831249,11.163279,0.9138685559046772,6243.2534,29.997128000000004
2174,2.171411293075775e+18,0.40333366,9.373758,1.1173006169976063,7500.0,106.09103
2175,4.293868858250126e+17,0.7790623000000001,10.77515,0.7361635302199407,6301.3267,66.02616
2176,4.854642079163265e+17,0.026183128,8.546191,1.8625437512304592,9280.0,
2177,2.2491742185759176e+18,0.7120638000000001,9.226649,3.743684870943128,5985.615,10.71753
2178,2.2846116844971346e+18,1.0124845999999998,11.961379,2.2757843774970485,5374.6665,2.4483104
2179,5.446732913265267e+17,0.62074566,9.403248,3.60715151052027,6283.5,9.732405
2180,5.541599463709215e+17,1.0350857,12.573517,2.5457020088796307,5063.84,1.169926
2181,5.543789897025224e+17,0.14280510000000002,7.857367999999999,5.57569444754466,8172.3335,
2182,4.984027698370925e+18,1.0010233,10.326307,2.3288517780095512,5263.6665,10.701383
2183,2.092496903998348e+18,0.5115452,9.020243,6.3442359770432,6821.1934,4.4713764000000005
2184,5.771027610087634e+18,0.9781914,10.618586,4.293175099493847,5378.6665,2.3684957000000004
2185,5.008388890312917e+18,0.736042,11.143116,2.548191258455041,6023.733,3.9538724
2186,6.396470226719885e+18,0.37077236,8.767795,2.4525174689152647,7478.5,38.434147
2187,2.0745418748181007e+18,0.78964424,11.744681,2.4434375156373007,5896.0,2.4841087
2188,5.279078693095754e+17,0.9486933,10.686697,3.88003642185506,5349.0,2.7336888
2189,4.980542044679725e+17,0.80766106,11.147069,4.268240796469623,5814.5,1.4176655
2190,5.4807524902260774e+17,0.80624866,10.560819,6.28071813699537,5871.9346,1.1199901
2191,5.56510633510698e+17,0.6432934,7.6421537,9.450976265006137,6325.5,7.173914999999999
2192,5.923002725768084e+18,0.92520046,11.810054,2.9558229742092723,5422.0,1.6589421999999998
2193,2.1428524749621862e+18,0.9839077,10.654022,7.135544015339358,5344.25,0.8334998
2194,2.1746749828717614e+18,0.2876773,7.899772599999999,4.116375418637818,8071.0,
2195,2.1745880226850207e+18,1.0680971,12.260792,0.7668055002410293,5101.88,17.073072
2196,3.7094575329365637e+18,0.6018753000000001,9.646232,5.725552392599442,6565.3003,3.0808756
2197,3.7336206366905426e+18,0.8755493000000001,10.688668,7.144213245868581,5489.85,0.7917868
2198,3.733936029025094e+18,1.1018486,11.358583,5.510913512728377,4975.565,0.7786781
2199,2.060025435110033e+18,0.17841339,8.506409,0.4561442799270129,8505.5,
2200,5.681526023553932e+18,0.84991837,10.359413,4.804312269611919,5613.025,2.3440578
2201,3.5397544071805245e+18,0.7217884,10.403674,4.29492158888237,6072.0,2.745662
2202,3.514839782931841e+18,0.8950690999999998,9.441374,10.15007018425942,5565.3335,1.2283286
2203,5.826323596072639e+18,0.86206055,10.064274,9.344838726241354,5615.0,0.81296444
2204,2.160039044293548e+18,1.1783447,11.6814785,6.9213607958211325,4915.0,0.37185398
2205,4.536580548100596e+18,0.039569378,7.0972195000000005,3.0537206048375536,9557.0,
2206,2.1385512198350162e+18,0.61671543,5.7657475,24.70898092885929,6377.467,5.9058465999999985
2207,2.96967783170499e+18,1.0026731,10.462776,10.017262714010698,5182.0,0.5166837000000001
2208,4.657996005080303e+18,-0.4827795,11.161665,2.7188279933596373,8868.667,
2209,5.132452250472067e+18,0.68073654,9.079266,3.8548369909302354,6205.0,11.502127
2210,6.731441705463394e+18,0.63567543,9.468531,5.161890661160234,6293.0,4.474574
2211,2.2822453293170235e+18,0.72340584,10.922213,2.3948988501046,5986.2,5.4939394
2212,5.780865730897847e+18,0.8276968000000001,9.170797,8.49308140726566,5584.767,2.2469754
2213,5.806506204622363e+18,0.8785228999999999,10.928284,5.189298508001208,5456.238,1.207831
2214,3.2766052957107e+18,-0.14544916,5.295177,5.309946048215632,8868.667,
2215,2.054756957652358e+18,0.46059132,8.233296000000001,3.99213962699951,7099.8319999999985,23.419088
2216,2.0021965909958758e+18,0.7115611999999999,10.745319,2.193951616858678,6210.5723,7.6535463
2217,2.220540977285994e+18,0.8323908000000001,7.8944974,2.668199284291672,5732.25,72.92455
2218,2.2172238194249894e+18,2.577551,12.749214,21.03292540839745,3880.35,
