angDist,_RAJ2000,_DEJ2000,GCVS,Class1,u_Class1,LCType,u_LCType,magMax,A1,A2,Fltr,Per,f_Per,SpType,Simbad,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.053939,35.3725,51.29,V0552 Per,,,EB,,8.3,0.13,,Hp,,,,Simbad,35.3725,51.29,35.3725231390723,51.2900038843505,0.002,0.002,0,451850458127289088,35.37254948839,0.0472,51.28997850150,0.0436,1.6319,0.0563,3.827,0.109,-5.895,0.110,0,9.17948e+06,2.41281e+04,8.281321,6.20549e+06,5.31198e+04,8.369448,4.27598e+06,3.44233e+04,8.184331,0.185117,,,0,8387.50,0.6105,0.3060,,
0.531689,47.3954167,48.6247222,V0570 Per,,,EB,:,8.15,0.1,,Hp,,,,Simbad,47.39542,48.62472,47.3955993063527,48.6246370879083,0.001,0.001,90,435997252803241856,47.39589242448,0.0296,48.62446782453,0.0247,8.3512,0.0435,45.000,0.087,-39.313,0.076,1,1.25590e+07,4.27141e+03,7.940976,7.27571e+06,5.16262e+03,8.196699,7.52703e+06,9.27983e+03,7.570362,0.626338,,,0,6292.61,1.1275,0.5690,2.22,6.981
0.308654,48.9529167,50.9558333,V0572 Per,,,EA,,6.5,0.29,,Hp,,,,Simbad,48.95292,50.95583,48.9528187433619,50.9558928264179,0.001,0.001,90,442831198606351104,48.95302852411,0.0328,50.95574572191,0.0337,8.0714,0.0498,30.692,0.092,-34.166,0.086,0,3.95530e+07,1.61674e+05,6.695416,2.70168e+07,6.71298e+05,6.772304,1.84441e+07,6.05413e+05,6.597277,0.175027,,,0,8397.00,0.5850,0.2883,,
1.303850,48.9529167,50.9558333,V0572 Per,,,EA,,6.5,0.29,,Hp,,,,Simbad,48.95292,50.95583,48.9534897883005,50.9558040739060,0.002,0.002,0,442831198601733120,48.95373745929,0.0387,50.95564998220,0.0412,7.9671,0.0563,36.235,0.111,-35.789,0.114,0,1.06803e+07,1.21582e+04,8.116910,1.06718e+07,2.27707e+06,7.780795,8.15096e+06,8.36269e+05,7.483898,0.296897,,,0,5962.00,,,2.40,6.583
0.533613,49.1466667,32.1838889,V0573 Per,,,,,6.11,0.08,,Hp,,,,Simbad,49.14667,32.18389,49.1466358054500,32.1840348014419,0.004,0.003,90,125081890181312768,49.14662142163,0.1337,32.18364627084,0.0876,7.5344,0.1357,-2.827,0.265,-90.239,0.174,0,1.02307e+08,2.03549e+05,5.663601,4.50732e+07,2.75867e+05,6.216593,7.72644e+07,4.83732e+05,5.041971,1.174622,19.74,1.02,6,4826.00,,,12.95,81.980
0.526321,53.5408333,46.8491667,V0578 Per,,,EB,,8.94,0.16,,Hp,,,,Simbad,53.54083,46.84917,53.5410420727396,46.8491981196328,0.002,0.001,90,248092811557890048,53.54104523645,0.0422,46.84917805027,0.0302,1.2179,0.0565,0.503,0.108,-4.661,0.076,0,5.42036e+06,1.34974e+04,8.853296,3.42248e+06,2.84647e+04,9.015535,2.95803e+06,2.13367e+04,8.584414,0.431122,,,0,7464.00,1.1350,0.5450,7.18,143.959
0.183755,56.75875,41.4272222,V0580 Per,,,,,7.75,0.32,,Hp,,,,Simbad,56.75875,41.42722,56.7588058062948,41.4272514323292,0.001,0.001,90,231113736385994624,56.76223979197,0.0355,41.42189570576,0.0220,41.8298,0.0402,597.996,0.083,-1243.881,0.061,0,1.30470e+07,2.89898e+03,7.899588,6.44745e+06,4.96720e+03,8.327918,9.29017e+06,9.79052e+03,7.341860,0.986058,50.87,0.14,20,5356.50,0.1177,0.0660,0.64,0.306
0.619251,66.10375,34.3147222,V0590 Per,,,EB,:,7.2,0.24,,Hp,,,,Simbad,66.10375,34.31472,66.1035501941568,34.3147707163951,0.004,0.003,90,176204233071472512,66.10364466042,0.1177,34.31463556087,0.0638,4.4527,0.1013,18.122,0.271,-31.391,0.184,1,2.35442e+07,1.23912e+04,7.258655,1.66101e+07,2.89711e+04,7.300456,1.04861e+07,2.62640e+04,7.210386,0.090070,,,0,9105.00,,,,
0.288422,71.1375,39.8755556,V0592 Per,,,EB,,8.3,0.35,,Hp,,,,Simbad,71.1375,39.87556,71.1374673074308,39.8754795126847,0.007,0.006,90,202816984311041280,71.13761492544,0.2394,39.87530855018,0.2409,6.3216,0.2787,26.312,0.451,-39.707,0.399,1,9.83339e+06,5.40157e+04,8.206607,5.43220e+06,1.11985e+05,8.513948,6.24632e+06,1.15437e+05,7.772860,0.741087,28.38,2.48,11,5897.50,,,2.98,9.654
0.086148,71.9295833,40.2325,V0593 Per,,,EB,,8.67,0.2,,Hp,,,,Simbad,71.92958,40.2325,71.9295780104336,40.2325235867258,0.001,0.001,90,200220281439375104,71.92957801043,0.7528,40.23252358673,0.7119,,,,,,,0,6.93470e+06,2.74969e+04,8.585797,4.34390e+06,3.45577e+04,8.756688,3.91116e+06,3.04643e+04,8.281155,0.475534,,,0,7629.33,,,,
