angDist,_RAJ2000,_DEJ2000,GCVS,Per,SpType,M1,e_M1,M2,e_M2,R1,e_R1,R2,e_R2,T1,e_T1,T2,e_T2,logL1,e_logL1,logL2,e_logL2,a,e_a,BibCode,Simbad,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.000242,275.772545,58.9035625,RZ Dra,0.55087623,A5V+K2IV,1.63,0.03,0.7,0.02,1.65,0.02,1.15,0.02,7940,200,5006,220,0.99,0.01,-0.13,0.06,3.74,0.01,2011NewA...16....6E,Simbad,275.77254,58.90356,275.7725451133001,58.9035625330235,0.001,0.001,90,2157561187465024896,275.77249049002,0.0234,58.90349054685,0.0264,2.5631,0.0236,-6.552,0.050,-16.719,0.050,0,1.42661e+06,1.81648e+04,10.302602,8.92975e+05,4.04000e+04,10.474290,7.51090e+05,2.62902e+04,10.072690,0.401600,,,0,7203.13,,,1.87,8.471
0.000307,233.4627494,63.9071408,TW Dra,2.80686656,A6V+KIII,2.112,0.053,0.85,0.021,2.52,,3.66,,8180,,4407,23,1.37,,0.61,,12.012,,2010arXiv1012.5679Z,Simbad,233.46275,63.90714,233.4627495533842,63.9071407478553,0.001,0.001,90,1640708022815757568,233.46285811738,0.0279,63.90723757097,0.0283,6.0084,0.0275,11.090,0.061,22.488,0.055,0,2.11187e+07,3.79474e+04,7.376698,1.30466e+07,5.37560e+04,7.562643,1.14376e+07,9.86637e+04,7.116084,0.446559,,,0,7082.25,0.8935,0.4880,3.17,22.748
0.000593,254.0756375,52.6984306,AI Dra,1.1988146,A0V+G4V,2.86,0.09,1.34,0.05,2.12,0.04,2.36,0.04,10166,160,5586,110,1.622,0.033,0.675,0.038,7.62,0.09,2004MNRAS.351..707L,Simbad,254.07564,52.69843,254.0756374100133,52.6984304446106,0.003,0.003,0,1413786483748744960,254.07561642175,0.0924,52.69841219045,0.1149,5.9711,0.0985,-2.954,0.176,-4.240,0.225,1,2.78935e+07,1.36022e+05,7.074609,1.92118e+07,3.12473e+05,7.142467,1.26942e+07,1.95705e+05,7.002904,0.139563,,,0,8174.00,0.4927,0.2397,,
0.000217,175.0060006,75.1559631,OO Dra,1.2383813,A4V,2.031,0.058,0.187,0.009,2.078,0.026,1.199,0.017,8260,210,6268,150,1.26,0.05,0.3,0.04,6.326,0.063,2018AJ....155....5L,Simbad,175.006,75.15596,175.0060004749685,75.1559630488623,0.001,0.001,90,1079310648531984000,175.00626360081,0.0229,75.15595366842,0.0208,1.3835,0.0256,15.656,0.045,-2.179,0.040,0,7.22327e+05,1.15555e+03,11.041531,4.64044e+05,1.02169e+03,11.184990,3.88570e+05,1.34647e+03,10.788248,0.396742,,,0,7840.25,0.7487,0.3748,2.12,15.239
0.000224,314.3035019,5.0803953,S Equ,3.4360969,B8V+G8IV-III,3.24,0.03,0.42,0.01,2.74,0.09,3.24,0.1,11200,,5250,,2.02,0.1,0.86,0.1,14.8,0.1,2007MNRAS.379.1533S,Simbad,314.3035,5.0804,314.3035018829458,5.0803952401760,0.001,0.001,90,1734709738640800256,314.30357523001,0.0406,5.08037567436,0.0347,2.5368,0.0543,16.969,0.091,-4.544,0.082,1,8.61853e+06,1.98049e+04,8.349782,6.08762e+06,1.27402e+04,8.390268,4.07688e+06,1.19320e+04,8.236099,0.154169,,,0,9195.00,0.7800,0.3875,,
0.000614,65.4180442,-6.0192228,TZ Eri,2.606132,A6V+KIV,1.96,,0.37,,1.69,,2.6,,7940,,4330,,1.01,,0.33,,10.56,,2004yCat.5115....0S,Simbad,65.41804,-6.01922,65.4180442859680,-6.0192226524309,0.001,0.001,90,3202234883261674368,65.41809530258,0.0332,-6.01938302067,0.0209,3.2969,0.0497,11.784,0.058,-37.247,0.036,0,2.91282e+06,6.20570e+03,9.527582,1.80048e+06,8.79650e+03,9.712920,1.59004e+06,1.87888e+04,9.258400,0.454520,,,0,7021.34,0.7950,0.3950,2.18,10.407
0.000360,53.1046925,-3.31336,AS Eri,2.664152,A3V+[G6IV],1.92,,0.21,,1.8,,2.25,,8560,,4690,,1.19,,0.34,,10.4,,2004yCat.5115....0S,Simbad,53.10469,-3.31336,53.1046925993868,-3.3133600127095,0.002,0.002,0,3249135719973670528,53.10456313417,0.0592,-3.31353945219,0.0596,4.7212,0.0745,-30.019,0.126,-41.676,0.131,1,9.44863e+06,1.73068e+04,8.249944,6.28875e+06,1.71212e+04,8.354979,4.70280e+06,3.05779e+04,8.081029,0.273950,,,0,8185.00,0.5545,0.2735,,
0.000259,90.3669092,23.1409772,RW Gem,2.8654972,B5V+[F5],4.95,,1.45,,3.5,,4.55,,15450,,6640,,2.8,,1.56,,15.74,,2004yCat.5115....0S,Simbad,90.36691,23.14098,90.3669091732376,23.1409771325335,0.001,0.001,90,3424637773136532224,90.36690757036,0.0450,23.14096691403,0.0423,1.0044,0.0505,-0.342,0.092,-2.373,0.077,0,2.83155e+06,1.95951e+04,9.558304,1.91141e+06,2.23934e+04,9.648003,1.40837e+06,2.52705e+04,9.390128,0.257875,,,0,8439.00,0.7450,0.3420,,
0.000477,102.5480917,33.2390928,RX Gem,12.2086558,AVe+K2IV,2.96,0.04,0.429,0.01,3.36,0.05,7.66,0.06,9450,,4405,40,1.91,0.01,1.3,0.02,33.5,0.2,2015AJ....149..125O,Simbad,102.54809,33.23909,102.5480915417985,33.2390927929372,0.002,0.001,90,937758765659068288,102.54806883122,0.0538,33.23905230014,0.0616,1.2876,0.0824,-4.412,0.112,-9.405,0.091,0,4.10983e+06,6.19998e+03,9.153805,2.66122e+06,8.18920e+03,9.288688,2.15462e+06,1.43560e+04,8.928494,0.360193,,,0,7891.67,1.1305,0.5712,5.37,100.580
0.000487,111.8507228,15.6596386,RY Gem,9.300567,A2Ve+K2IV,2.04,,0.39,,2.38,,6.19,,8760,,4210,,1.48,,1.03,,25.01,,2004yCat.5115....0S,Simbad,111.85072,15.65964,111.8507226750652,15.6596385380542,0.001,0.001,90,3168597794613114240,111.85075120854,0.0495,15.65956821723,0.0431,2.2672,0.0549,6.381,0.092,-16.333,0.071,1,6.69581e+06,1.13733e+04,8.623858,4.27529e+06,1.34826e+04,8.773974,3.54391e+06,2.77804e+04,8.388212,0.385762,,,0,7367.34,,,4.39,51.097
